# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
# File: E:\Counter\Counter.csv
# Generated on: Wed May 24 23:24:25 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
SW,Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
data_load[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
data_load[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
data_load[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
data_load[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
data_load[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
data_load[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
data_load[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
data_load[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
hex_out[13],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
hex_out[12],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
hex_out[11],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
hex_out[10],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
hex_out[9],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
hex_out[8],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
hex_out[7],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
hex_out[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
hex_out[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
hex_out[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
hex_out[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
hex_out[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
hex_out[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
hex_out[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
key,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
load,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
rst_n,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
